Similarity Score,Original Sentence (Keep),Duplicate Sentence (Remove)
0.8540,pwede po ba eh connect sa cellphone to,pwede ba ang usb dito phone connect
0.9641,pwede po ba eh connect sa cellphone to,pwede po connect sa cellphone
0.9010,my radio po b yn,my radio po ba
0.8603,may fm po ba ito,may fm radio po ba yan
0.9127,may fm po ba ito,may fm ba to
0.9710,may fm po ba ito,may fm po ba yan
0.8773,may fm po ba ito,may fm radio na po ba ito
0.8765,may fm po ba ito,may fm radio po ba ito
0.8733,may fm po ba ito,may fm radio ba ito
0.8966,ilang watts po ito,ilan watts po ito sir
0.9799,ilang watts po ito,ilang watt po ba ito
0.8604,amplified na po,amplified na po ba to
0.8779,may aux ba to,may aux po ba
0.8572,may bluetooth na po ba to,may bluetooth po
0.9891,may bluetooth na po ba to,may bluetooth po ba ito
0.9687,may bluetooth na po ba to,may bluetooth ba
0.9632,may bluetooth na po ba to,may bluetooth ba sya
0.9787,may bluetooth na po ba to,may bluetooth po ba
0.9391,may bluetooth na po ba to,bluetooth po ba yan
0.9825,may bluetooth na po ba to,may bluetooth ba ito
0.8692,may bluetooth na po ba to,pwd dn po ba siya sa bluetooth
0.9226,may saksakan ba to ng microphone,pwedi ba saksakan nang microphone to
0.8573,may saksakan ba to ng microphone,may saksakan ba ng mic ito
0.8539,may saksakan ba to ng microphone,may mic ba to
0.8811,may saksakan ba to ng microphone,with microphone ba ito
0.8630,may saksakan ba to ng microphone,ok naman po ba yung microphone
0.8502,may saksakan ba to ng microphone,available pa po ba to microphone nato
0.9673,pwede rin ba to pang videoke,pwede ba to pang videoke
0.9122,pwede rin ba to pang videoke,pwede po ba sya pang videoke
0.8655,pwede rin ba to pang videoke,pwede po ba to gamitin pang videoke
0.8673,pls answer po if pwede ba to direct connect sa smart tv atmay saksakan po ba ng mic tosalamat po,pwede ba itong e direct connect sa devant smart tv pls reply kasi bibili ako ngayon
0.8801,pls answer po if pwede ba to direct connect sa smart tv atmay saksakan po ba ng mic tosalamat po,pakisagot po if pwede ba to direct connect sa smart tv at may saksakan ba to ng mic salamat maghihintay ako hanggang bukas sa reply kasi oorder ako
0.8714,pwede ba ito direct e coconect sa smart tv ko,pwede ba to maconnect sa smart tv pano
0.9219,may fm radio po ba to,me fm radio ba ito
0.8509,may fm radio po ba to,may radio ba
0.8899,may fm radio po ba to,may fm radio function po ba ito
0.8832,may fm radio po ba to,pd pu ba sa fm radio
0.9379,may fm radio po ba to,may fm radio po b ito
0.9558,may fm radio po ba to,may fm radio na po ba ito
0.9586,may fm radio po ba to,may fm radio po ba ito
0.9453,may fm radio po ba to,may fm radio ba ito
0.9720,pwede po ba ito sa tv,pwede ba ito sa tv ikabit
0.8726,pwede po ba ito sa tv,pwde ba sya sa tv
0.8585,pwede po ba ito sa tv,pwede po ba ito sa mga smart tv
0.9020,pwede po ba ito sa tv,gagana po ba ito sa tv
0.8868,pwede po ba ito sa tv,pwede po ba ito sa led tv
