Emulated_Device,Model,Macro_F1,Latency_ms
IoT Sensor Node (1 Cores),Model A (Base DistilmBERT),0.8047,104.63
IoT Sensor Node (1 Cores),Model B (DAPT-DistilmBERT),0.8091,108.26
IoT Sensor Node (1 Cores),Model C (XLM-R Base),0.8317,193.49
IoT Sensor Node (1 Cores),Model D (Optimized DAPT),0.7995,33.43
Budget Mobile Phone (2 Cores),Model A (Base DistilmBERT),0.8047,58.69
Budget Mobile Phone (2 Cores),Model B (DAPT-DistilmBERT),0.8091,58.26
Budget Mobile Phone (2 Cores),Model C (XLM-R Base),0.8317,111.68
Budget Mobile Phone (2 Cores),Model D (Optimized DAPT),0.7995,20.34
Mid-Range Smartphone (3 Cores),Model A (Base DistilmBERT),0.8047,49.28
Mid-Range Smartphone (3 Cores),Model B (DAPT-DistilmBERT),0.8091,53.07
Mid-Range Smartphone (3 Cores),Model C (XLM-R Base),0.8317,111.83
Mid-Range Smartphone (3 Cores),Model D (Optimized DAPT),0.7995,16.67
Low-End Laptop (4 Cores),Model A (Base DistilmBERT),0.8047,41.58
Low-End Laptop (4 Cores),Model B (DAPT-DistilmBERT),0.8091,39.33
Low-End Laptop (4 Cores),Model C (XLM-R Base),0.8317,79.76
Low-End Laptop (4 Cores),Model D (Optimized DAPT),0.7995,13.81
