loss,grad_norm,learning_rate,epoch,step,peak_vram_mb
5.9528,29.47525978088379,3.506261180679786e-06,0.09,100,5209.59
5.0233,26.887779235839844,7.084078711985689e-06,0.17,200,5209.59
4.5431,26.33152198791504,1.0661896243291594e-05,0.26,300,5209.59
4.1657,18.77639389038086,1.4239713774597497e-05,0.34,400,5209.59
3.8523,27.995393753051758,1.78175313059034e-05,0.43,500,5209.59
3.6466,21.43506622314453,1.9910887695647208e-05,0.52,600,5209.59
3.4585,20.388500213623047,1.9682394607563123e-05,0.6,700,5209.59
3.3707,21.724821090698242,1.9453901519479038e-05,0.69,800,5209.59
3.3763,22.438095092773438,1.9225408431394953e-05,0.77,900,5209.59
3.2324,28.432336807250977,1.8996915343310865e-05,0.86,1000,5209.59
3.1699,21.039365768432617,1.876842225522678e-05,0.95,1100,5209.59
3.1042,20.727052688598633,1.8539929167142695e-05,1.03,1200,5209.59
2.9577,16.096248626708984,1.831143607905861e-05,1.12,1300,5209.59
2.884,19.845500946044922,1.8082942990974522e-05,1.2,1400,5209.59
2.9459,15.631281852722168,1.7854449902890437e-05,1.29,1500,5209.59
2.8146,inf,1.7628241745687194e-05,1.37,1600,5209.59
2.8647,21.164793014526367,1.739974865760311e-05,1.46,1700,5209.59
2.6701,15.762495994567871,1.7171255569519024e-05,1.55,1800,5209.59
2.7846,20.196748733520508,1.694276248143494e-05,1.63,1900,5209.59
2.8171,15.490813255310059,1.6714269393350854e-05,1.72,2000,5209.59
2.6321,20.665197372436523,1.6485776305266766e-05,1.8,2100,5209.59
2.6477,20.912630081176758,1.625728321718268e-05,1.89,2200,5209.59
2.6295,20.171531677246094,1.6028790129098596e-05,1.98,2300,5209.59
2.5451,19.492996215820312,1.5802581971895353e-05,2.06,2400,5209.59
2.5095,15.863199234008789,1.5574088883811268e-05,2.15,2500,5209.59
2.4458,18.588193893432617,1.534559579572718e-05,2.23,2600,5209.59
2.5757,17.777233123779297,1.5117102707643095e-05,2.32,2700,5209.59
2.4782,15.58005428314209,1.488860961955901e-05,2.41,2800,5209.59
2.4917,18.195844650268555,1.4660116531474923e-05,2.49,2900,5209.59
2.5511,17.812129974365234,1.4431623443390838e-05,2.58,3000,5209.59
2.4604,18.759830474853516,1.4203130355306754e-05,2.66,3100,5209.59
2.4023,16.46929359436035,1.3974637267222669e-05,2.75,3200,5209.59
2.4009,14.906309127807617,1.3746144179138584e-05,2.84,3300,5209.59
2.3805,19.42286491394043,1.3517651091054497e-05,2.92,3400,5209.59
2.3824,19.32794189453125,1.328915800297041e-05,3.01,3500,5209.59
2.467,18.998638153076172,1.3060664914886326e-05,3.09,3600,5209.59
2.3806,15.496984481811523,1.2832171826802239e-05,3.18,3700,5209.59
2.2837,17.677974700927734,1.2603678738718154e-05,3.26,3800,5209.59
2.4003,15.473444938659668,1.237518565063407e-05,3.35,3900,5209.59
2.3135,18.957496643066406,1.2146692562549984e-05,3.44,4000,5209.59
2.3676,20.664976119995117,1.19181994744659e-05,3.52,4100,5209.59
2.3144,17.332019805908203,1.1689706386381815e-05,3.61,4200,5209.59
2.2642,17.881168365478516,1.1461213298297726e-05,3.69,4300,5209.59
2.3057,20.678285598754883,1.1232720210213641e-05,3.78,4400,5209.59
2.3234,17.363216400146484,1.1004227122129557e-05,3.87,4500,5209.59
2.2149,16.895626068115234,1.077573403404547e-05,3.95,4600,5209.59
2.2109,13.903809547424316,1.0547240945961385e-05,4.04,4700,5209.59
2.2089,17.83212661743164,1.03187478578773e-05,4.12,4800,5209.59
2.3052,15.773591041564941,1.0090254769793215e-05,4.21,4900,5209.59
2.2839,17.247364044189453,9.861761681709129e-06,4.3,5000,5209.59
2.3448,19.83720588684082,9.633268593625044e-06,4.38,5100,5209.59
2.2116,17.665752410888672,9.404775505540959e-06,4.47,5200,5209.59
2.1861,19.087614059448242,9.176282417456872e-06,4.55,5300,5209.59
2.1661,17.998788833618164,8.947789329372788e-06,4.64,5400,5209.59
2.1748,19.79235076904297,8.719296241288701e-06,4.73,5500,5209.59
2.1332,17.575841903686523,8.490803153204616e-06,4.81,5600,5209.59
2.2424,18.09523582458496,8.262310065120531e-06,4.9,5700,5209.59
2.1703,13.674518585205078,8.033816977036445e-06,4.98,5800,5209.59
2.1039,16.924463272094727,7.80532388895236e-06,5.07,5900,5209.59
2.1566,19.647703170776367,7.576830800868275e-06,5.15,6000,5209.59
2.1527,14.500750541687012,7.348337712784189e-06,5.24,6100,5209.59
2.1729,16.717615127563477,7.119844624700103e-06,5.33,6200,5209.59
2.0098,21.640459060668945,6.891351536616018e-06,5.41,6300,5209.59
2.126,17.353565216064453,6.662858448531933e-06,5.5,6400,5209.59
2.1628,19.941614151000977,6.434365360447847e-06,5.58,6500,5209.59
2.0784,18.871244430541992,6.205872272363761e-06,5.67,6600,5209.59
2.0773,18.826032638549805,5.9773791842796755e-06,5.76,6700,5209.59
2.1862,18.148244857788086,5.748886096195591e-06,5.84,6800,5209.59
2.078,14.537369728088379,5.520393008111506e-06,5.93,6900,5209.59
2.0554,21.823638916015625,5.29189992002742e-06,6.01,7000,5209.59
2.1082,14.964662551879883,5.063406831943334e-06,6.1,7100,5209.59
2.1719,14.343246459960938,4.8349137438592485e-06,6.19,7200,5209.59
2.1038,17.56796646118164,4.606420655775164e-06,6.27,7300,5209.59
2.096,17.997312545776367,4.377927567691078e-06,6.36,7400,5209.59
2.101,16.990461349487305,4.149434479606992e-06,6.44,7500,5209.59
2.0652,18.244613647460938,3.920941391522906e-06,6.53,7600,5209.59
2.1106,16.726938247680664,3.6924483034388215e-06,6.62,7700,5209.59
2.1199,20.801145553588867,3.4639552153547358e-06,6.7,7800,5209.59
2.0518,17.12861442565918,3.2354621272706505e-06,6.79,7900,5209.59
1.9569,18.798879623413086,3.0069690391865647e-06,6.87,8000,5209.59
2.0241,19.380355834960938,2.7784759511024794e-06,6.96,8100,5209.59
1.9918,14.042323112487793,2.5499828630183937e-06,7.04,8200,5209.59
1.966,16.17014503479004,2.3214897749343084e-06,7.13,8300,5209.59
2.1223,15.702460289001465,2.0952816177310638e-06,7.22,8400,5209.59
2.079,15.20798110961914,1.8667885296469784e-06,7.3,8500,5209.59
1.9757,18.79413414001465,1.638295441562893e-06,7.39,8600,5209.59
1.9369,17.332387924194336,1.4098023534788074e-06,7.47,8700,5209.59
1.945,19.31134796142578,1.1813092653947219e-06,7.56,8800,5209.59
