Model_Name,Learning_Rate,Macro_F1,Peak_VRAM_MB
Model A (Base DistilBERT),1e-05,0.8001611157552362,2781.58
Model A (Base DistilBERT),2e-05,0.805966829022624,2781.58
Model B (DAPT-DistilBERT),1e-05,0.8088604414989554,2781.58
Model B (DAPT-DistilBERT),2e-05,0.8119860024643138,2781.58
Model B (DAPT-DistilBERT),3e-05,0.8046095404724701,2781.58
Model B (DAPT-DistilBERT),5e-05,0.8204143824186252,2781.58
Model C (XLM-R Base),1e-05,0.8425074983722395,5426.22
Model C (XLM-R Base),2e-05,0.8416849647383998,5426.22
Model C (XLM-R Base),3e-05,0.8435683211802614,5426.22
Model C (XLM-R Base),5e-05,0.8256452574045872,5426.22
