Model A (Base DistilmBERT),Model B (DAPT-DistilmBERT),Model C (XLM-R Base),Model D (Optimized DAPT)
94.16910000004464,110.43289999997796,193.72599999996964,34.30559999969773
94.89189999999326,100.57490000008329,193.82619999987583,31.372099999771308
95.56049999991956,99.3954999999005,192.97329999972135,30.43470000011439
94.93670000006205,96.43480000022464,191.02870000006078,31.651499999952648
93.3357999999771,99.08919999998034,184.22229999987394,31.871099999989383
94.46589999993193,98.26500000008309,196.12599999982194,31.872399999883783
94.066100000191,97.11950000018987,191.54159999970943,31.77240000013626
93.48399999998946,98.90360000008513,187.28620000001683,31.529600000339997
94.84200000019882,99.91429999990942,189.87819999983913,30.43550000029427
94.83219999992798,100.0461999997242,186.71309999990626,32.14269999989483
95.59260000014547,103.92730000012307,186.59889999980805,30.69679999998698
94.10509999997885,97.37459999996645,185.838099999728,33.7878999998793
93.23599999993348,94.20490000002246,191.1221000000296,30.76280000004772
93.5704999999416,99.49039999992237,186.12190000021656,32.37439999975322
93.65779999984625,100.0543000000107,184.78940000022703,33.251299999847106
94.388699999854,95.0738999999885,185.4684999998426,34.530200000062905
93.11840000009397,101.96240000004764,185.10730000025433,30.78159999995478
93.5679000001528,95.30660000018543,184.8389000001589,31.57950000013443
93.40500000007523,94.47020000015982,186.26240000003236,32.88159999965501
94.05339999989337,93.03120000004128,187.4640000000909,33.36219999982859
93.20950000005723,93.48399999998946,186.25169999995705,32.60869999985516
93.83010000010472,93.56179999986125,190.03169999996317,30.792699999892648
93.04080000015347,93.5685000004014,188.6942999999519,32.269499999983964
92.98280000007253,93.22759999986374,187.2386000000006,36.09899999992194
93.964700000015,93.11690000004091,197.6558000001205,32.22880000021178
93.53370000007999,93.64259999983915,189.1458000000057,34.07559999959631
96.00509999995666,94.1173000001072,190.59500000003027,33.20439999970404
93.98379999993267,92.42959999983213,189.46290000030785,30.333300000165764
93.3652000001075,93.7696999999389,191.56010000006063,30.683500000122876
94.44759999996677,92.64110000003711,187.3449999998229,29.96499999972002
93.67429999997512,92.87080000012793,187.73250000003827,30.260600000019622
93.727299999955,93.75610000006418,190.4832999998689,30.154399999901216
95.57229999995798,92.91470000016488,189.2189000000144,30.832000000373228
94.22670000003563,93.18740000026082,186.38129999999364,30.46630000017103
93.40569999994841,93.29739999975573,187.40119999984017,31.061900000167952
93.5565999998289,93.09299999995346,189.59470000027068,30.90569999994841
96.08000000002903,93.45859999984896,188.66429999980028,31.131700000059936
94.60200000012264,93.22829999973692,190.33829999989393,30.770399999710207
96.02619999986928,92.8764999998748,187.59470000031797,30.171399999744608
95.86290000015651,93.71169999985796,185.34890000000814,30.03949999992983
93.95410000001903,93.66209999961939,189.46020000021235,29.93940000033035
94.43489999989652,93.53379999993194,188.227900000129,32.868300000245654
94.55639999987397,94.69660000013391,188.22809999983292,31.6422999999304
96.76570000010543,92.27150000015172,186.19779999971797,32.33410000029835
97.4242999998296,92.90829999963535,184.11879999985103,32.888700000057725
93.94480000014482,93.39499999987311,185.13530000018363,31.981500000256347
93.59100000006038,93.09120000034454,185.2195000001302,33.072599999741215
92.92249999998603,94.02869999985342,186.07620000011593,32.907799999975396
93.86779999999817,92.9919999998674,184.4266999996762,30.308299999887822
94.523099999833,93.13109999993685,184.35840000029202,33.77469999986715
92.28880000000572,93.43280000030063,184.34449999995195,30.97429999979795
92.88349999997081,92.57740000020931,185.43910000016695,32.10099999978411
93.37389999996049,93.8853000002382,186.98670000003403,32.19669999998587
93.25889999990977,93.00290000010136,188.55399999984002,32.49139999979889
92.89869999997791,92.96899999981179,185.1211999996849,32.001600000057806
94.76310000013655,92.34440000000177,184.61539999998422,30.2985000002991
93.0627000000186,93.04680000013832,188.89990000025136,31.69160000015836
92.71459999990839,92.7176000000145,189.88509999962844,34.032700000352634
92.88800000012998,92.8235000001223,193.62480000017968,31.789500000286353
93.8170000001719,92.19249999978274,188.47339999956603,31.778799999756302
93.61149999995177,93.63239999993311,186.25999999994747,30.84790000002613
94.11230000000614,93.24579999974958,187.89769999966666,30.32070000017484
93.51379999998244,93.2105000001684,186.3561000000118,30.49360000022716
94.04909999989286,92.66440000010334,189.0462999999727,31.660899999678804
93.97340000009535,94.38219999992725,186.7326999999932,31.192899999950896
94.046900000194,93.1749999999738,186.4954000002399,30.744099999992613
93.10209999989638,93.79880000005869,185.80500000007305,32.235899999705
92.32409999981428,94.01399999978821,185.1515000003019,30.77740000026097
93.08120000014242,93.57500000032815,187.83619999976509,31.210299999656854
94.26159999998163,93.9450000000761,184.55720000019937,30.66690000014205
93.76810000003388,93.55579999964903,183.55129999963538,30.88789999992514
94.4285000000491,93.18599999960497,184.02430000014647,30.554700000266166
93.33459999993465,92.79120000019248,184.4450000003235,30.57760000001508
96.41919999990023,93.09080000002723,186.33009999985006,31.171699999958946
94.77730000003248,93.12920000002123,182.9779999998209,31.243200000062643
96.69800000006035,93.73950000008335,184.82350000022052,33.39080000023387
94.43000000010215,93.14680000034059,183.74210000001767,30.32069999972009
95.53630000004887,93.16859999989902,184.90569999994477,30.333199999859062
93.27129999996941,93.62779999992199,183.9073000001008,30.539500000031694
94.20460000001185,93.56449999995675,189.92729999990843,30.274700000063604
94.38490000002275,93.79030000036437,188.55900000016845,30.60970000024099
93.82030000006125,92.28110000003653,184.8322000000735,30.555700000149955
93.42089999995551,93.04550000024392,185.15210000032312,30.26910000016869
93.73619999996663,92.78519999998025,187.42280000014944,30.666300000120827
94.94599999993625,92.67399999998815,190.74070000033316,31.32740000000922
93.52430000012646,93.70909999961441,189.4763000000239,31.591500000104134
