loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,peak_vram_mb
1.0073,4.981679916381836,7.6030534351145035e-06,0.95,500,,,,,,,,,,,,2521.22
,,,1.0,524,0.8181874752044678,0.6593511450381679,0.6332444933672631,1.1421,917.599,57.788,,,,,,2521.22
0.7169,7.403655052185059,1.1640373197625107e-05,1.91,1000,,,,,,,,,,,,2521.22
,,,2.0,1048,0.6607744097709656,0.7757633587786259,0.7754172833647802,1.1468,913.872,57.553,,,,,,2521.22
0.6059,9.79897403717041,1.07921967769296e-05,2.86,1500,,,,,,,,,,,,2521.22
,,,3.0,1572,0.6292951703071594,0.8101145038167938,0.8131483334959988,1.0302,1017.271,64.065,,,,,,2521.22
0.5423,11.022741317749023,9.944020356234097e-06,3.82,2000,,,,,,,,,,,,2521.22
,,,4.0,2096,0.6351931691169739,0.8034351145038168,0.8058578044735575,1.0259,1021.579,64.336,,,,,,2521.22
0.4929,20.303619384765625,9.097540288379983e-06,4.77,2500,,,,,,,,,,,,2521.22
,,,5.0,2620,0.6414071321487427,0.808206106870229,0.8097217688901693,1.1155,939.476,59.165,,,,,,2521.22
,,,5.0,2620,,,,,,,286.606,438.686,27.424,1387951921128960.0,0.6643456291606408,2521.22
,,,5.0,2620,0.6292951703071594,0.8101145038167938,0.8131483334959988,1.225,855.531,53.879,,,,,,2521.22
