loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,peak_vram_mb,total_train_time_s,avg_epoch_time_s
0.9928,6.740567207336426,9.522900763358779e-06,0.95,500,,,,,,,,,,,,2523.22,421.18,60.17
,,,1.0,524,0.7487336993217468,0.7223282442748091,0.7147501125122736,1.4225,736.736,46.397,,,,,,2523.22,421.18,60.17
0.6907,7.912123203277588,1.4548346055979644e-05,1.91,1000,,,,,,,,,,,,2523.22,421.18,60.17
,,,2.0,1048,0.656423032283783,0.7795801526717557,0.7781493581034035,1.4204,737.843,46.467,,,,,,2523.22,421.18,60.17
0.5913,11.134270668029785,1.3488125530110263e-05,2.86,1500,,,,,,,,,,,,2523.22,421.18,60.17
,,,3.0,1572,0.6311184167861938,0.8043893129770993,0.8068341895719516,1.4984,699.419,44.047,,,,,,2523.22,421.18,60.17
0.5202,10.307334899902344,1.2427905004240883e-05,3.82,2000,,,,,,,,,,,,2523.22,421.18,60.17
,,,4.0,2096,0.6379489898681641,0.8053435114503816,0.8078397302900097,1.5288,685.506,43.171,,,,,,2523.22,421.18,60.17
0.4618,11.289432525634766,1.136980491942324e-05,4.77,2500,,,,,,,,,,,,2523.22,421.18,60.17
,,,5.0,2620,0.6590617299079895,0.8177480916030534,0.8204486662952976,1.4725,711.695,44.82,,,,,,2523.22,421.18,60.17
0.4213,1.4893269538879395,1.0309584393553859e-05,5.73,3000,,,,,,,,,,,,2523.22,421.18,60.17
,,,6.0,3144,0.709977388381958,0.8015267175572519,0.8030226233618533,1.5008,698.282,43.976,,,,,,2523.22,421.18,60.17
0.3871,2.54345440864563,9.249363867684478e-06,6.68,3500,,,,,,,,,,,,2523.22,421.18,60.17
,,,7.0,3668,0.768325924873352,0.8015267175572519,0.8037320728460523,1.4879,704.329,44.357,,,,,,2523.22,421.18,60.17
,,,7.0,3668,,,,,,,421.1757,298.521,18.662,1943132689580544.0,0.5716699706299094,2523.22,421.18,60.17
,,,7.0,3668,0.6590617299079895,0.8177480916030534,0.8204486662952976,1.4101,743.187,46.804,,,,,,2523.22,421.18,60.17
