loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,peak_vram_mb
1.0106,4.5958733558654785,6.335877862595419e-06,0.95,500,,,,,,,,,,,,2518.5
,,,1.0,524,0.7880986928939819,0.6879770992366412,0.6740502935931838,1.1793,888.646,55.964,,,,,,2518.5
0.719,13.14087963104248,9.700310998020922e-06,1.91,1000,,,,,,,,,,,,2518.5
,,,2.0,1048,0.6644800901412964,0.767175572519084,0.767124505214535,1.1917,879.441,55.385,,,,,,2518.5
0.6122,8.22958755493164,8.993497314108002e-06,2.86,1500,,,,,,,,,,,,2518.5
,,,3.0,1572,0.6380847692489624,0.8053435114503816,0.8084930774783298,1.3146,797.222,50.207,,,,,,2518.5
0.5532,11.596719741821289,8.286683630195081e-06,3.82,2000,,,,,,,,,,,,2518.5
,,,4.0,2096,0.6344936490058899,0.8091603053435115,0.8116833022767082,1.1281,928.999,58.506,,,,,,2518.5
0.5106,11.42920970916748,7.57986994628216e-06,4.77,2500,,,,,,,,,,,,2518.5
,,,5.0,2620,0.6382916569709778,0.808206106870229,0.8096789244227804,1.1456,914.819,57.613,,,,,,2518.5
0.4665,7.500429630279541,6.8744698897370656e-06,5.73,3000,,,,,,,,,,,,2518.5
,,,6.0,3144,0.6593192219734192,0.8120229007633588,0.8144285429677445,1.1442,915.886,57.68,,,,,,2518.5
0.4374,14.659177780151367,6.167656205824145e-06,6.68,3500,,,,,,,,,,,,2518.5
,,,7.0,3668,0.7056352496147156,0.8062977099236641,0.8083057726778096,1.1593,903.975,56.93,,,,,,2518.5
0.4075,10.349883079528809,5.460842521911225e-06,7.63,4000,,,,,,,,,,,,2518.5
,,,8.0,4192,0.7197257280349731,0.8034351145038168,0.8049399702675988,1.1286,928.587,58.48,,,,,,2518.5
,,,8.0,4192,,,,,,,476.3754,263.931,16.5,2220723073806336.0,0.5810630794699866,2518.5
,,,8.0,4192,0.6593192219734192,0.8120229007633588,0.8144285429677445,1.239,845.877,53.271,,,,,,2518.5
