loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,peak_vram_mb
0.9353,7.186117172241211,9.522900763358779e-06,0.95,500,,,,,,,,,,,,2523.22
,,,1.0,524,0.6825355291366577,0.7681297709923665,0.7695727317311549,1.3759,761.682,47.969,,,,,,2523.22
0.6394,11.232765197753906,1.4550466497031382e-05,1.91,1000,,,,,,,,,,,,2523.22
,,,2.0,1048,0.635091245174408,0.7948473282442748,0.7962533978253917,1.1741,892.621,56.215,,,,,,2523.22
0.5651,8.308103561401367,1.3490245971162002e-05,2.86,1500,,,,,,,,,,,,2523.22
,,,3.0,1572,0.6428666710853577,0.7900763358778626,0.7931909023667733,1.0675,981.755,61.828,,,,,,2523.22
0.4937,17.173643112182617,1.2430025445292621e-05,3.82,2000,,,,,,,,,,,,2523.22
,,,4.0,2096,0.6535771489143372,0.8034351145038168,0.8059173699143187,1.0639,985.037,62.035,,,,,,2523.22
0.4435,10.529335975646973,1.136980491942324e-05,4.77,2500,,,,,,,,,,,,2523.22
,,,5.0,2620,0.6733731627464294,0.8234732824427481,0.8264546843676456,1.0514,996.783,62.775,,,,,,2523.22
0.3992,8.430093765258789,1.0311704834605597e-05,5.73,3000,,,,,,,,,,,,2523.22
,,,6.0,3144,0.7232264280319214,0.8101145038167938,0.8116745642206515,1.0531,995.139,62.671,,,,,,2523.22
0.3777,0.3239368796348572,9.251484308736217e-06,6.68,3500,,,,,,,,,,,,2523.22
,,,7.0,3668,0.7470734715461731,0.8091603053435115,0.8120518691067424,1.2654,828.229,52.159,,,,,,2523.22
,,,7.0,3668,,,,,,,409.4351,307.082,19.197,1943132689580544.0,0.5421728469033278,2523.22
,,,7.0,3668,0.6733731627464294,0.8234732824427481,0.8264546843676456,1.2585,832.734,52.443,,,,,,2523.22
